CC(=O)Nc1cccc(NC=O)c1.C[SH](=O)=O,17,6,CC(O)NC1CCCC(NCO)C1.C[SH](O)O,,F2
CC(=O)Nc1cccc(NC(=O)C2CNC2)c1,17,10,CC(O)NC1CCCC(NC(O)C2CCC2)C1,,F2
CC(=O)Nc1cccc(NC(=O)C2CCCN(C)C2=O)c1,21,12,CC(O)NC1CCCC(NC(O)C2CCCC(C)C2O)C1,Z2890162905,EM;MOL;F2
CN1CCCC(C(=O)Nc2ccccc2)C1=O,17,12,CC1CCCC(C(O)NC2CCCCC2)C1O,,F2
O=C1NCCCC1C(=O)Nc1ccccc1,16,12,OC1CCCCC1C(O)NC1CCCCC1,,F2
O=C1CCCCN1.c1ccccc1,13,12,C1CCCCC1.OC1CCCCC1,,F2
O=C1CCCCN1,7,6,OC1CCCCC1,,F2
NC(=O)C1CCCNC1=O,10,6,NC(O)C1CCCCC1O,,F2
CN1CCCCC1=O.c1ccccc1,14,12,C1CCCCC1.CC1CCCCC1O,,F2
CN1CCCCC1=O,8,6,CC1CCCCC1O,,F2
CN1CCCC(C(N)=O)C1=O,11,6,CC1CCCC(C(N)O)C1O,,F2
CC(N)=O.CN1CCCC(C(N)=O)C1=O,15,6,CC(N)O.CC1CCCC(C(N)O)C1O,,F2
CC(N)=O.NC(=O)C1CCCNC1=O,14,6,CC(N)O.NC(O)C1CCCCC1O,,F2
CC(N)=O.O=C1CCCCN1,11,6,CC(N)O.OC1CCCCC1,,F2
CC(N)=O.CN1CCCCC1=O,12,6,CC(N)O.CC1CCCCC1O,,F2
CC(=O)Nc1ccccc1.CN1CCCCC1=O,18,12,CC(O)NC1CCCCC1.CC1CCCCC1O,,F2
CC(=O)Nc1ccccc1.O=C1CCCCN1,17,12,CC(O)NC1CCCCC1.OC1CCCCC1,,F2
CC(=O)Nc1cccc(NC(=O)C2CCCNC2=O)c1,20,12,CC(O)NC1CCCC(NC(O)C2CCCCC2O)C1,Z2762960492,EM;MOL;F2
CC(=O)Nc1cccc(NC(=O)COC2CC2)c1,18,9,CC(O)NC1CCCC(NC(O)COC2CC2)C1,Z2833113110,EM;MOL;F2
O=C(COC1CC1)Nc1ccccc1,14,9,OC(COC1CC1)NC1CCCCC1,,F2
O=C(CO)Nc1ccccc1,11,6,OCC(O)NC1CCCCC1,,F2
NC(=O)CO,5,0,NC(O)CO,,F2
NC(=O)COC1CC1,8,3,NC(O)COC1CC1,,F2
CC(N)=O.NC(=O)COC1CC1,12,3,CC(N)O.NC(O)COC1CC1,,F2
CC(N)=O.NC(=O)CO,9,0,CC(N)O.NC(O)CO,,F2
CC(=O)Nc1cccc(NC(=O)CO)c1,15,6,CC(O)NC1CCCC(NC(O)CO)C1,Z228585572,EM;MOL;F2
CC(=O)Nc1cccc(NC(=O)CC2(O)CCCN(C)C2)c1,22,12,CC1CCCC(O)(CC(O)NC2CCCC(NC(C)O)C2)C1,Z2890162852,EM;MOL;F2
CN1CCCC(O)(CC(=O)Nc2ccccc2)C1,18,12,CC1CCCC(O)(CC(O)NC2CCCCC2)C1,,F2
O=C(CC1(O)CCCNC1)Nc1ccccc1,17,12,OC(CC1(O)CCCCC1)NC1CCCCC1,,F2
